group,mode,kernel,vf_a,vf_b,predicted_ratio,measured_ratio,predicted_change,measured_change
core,legacy,s000,2,4,0.8,0.38361084388918787,-0.19999999999999996,-0.6163891561108121
core,legacy,s000,4,8,0.9375,0.964355746551848,-0.0625,-0.03564425344815203
core,legacy,s000,8,16,0.9,0.9126218597138374,-0.09999999999999998,-0.08737814028616264
core,legacy,s125,2,4,0.875,0.5676092454891148,-0.125,-0.43239075451088516
core,legacy,s125,4,8,0.9642857142857143,0.9693870725407263,-0.0357142857142857,-0.030612927459273687
core,legacy,s125,8,16,0.9444444444444444,0.9397653353432787,-0.05555555555555558,-0.06023466465672134
core,legacy,s311,2,4,0.75,0.5056508134853653,-0.25,-0.49434918651463466
core,legacy,s311,4,8,1.25,1.0151063723780578,0.25,0.015106372378057786
core,legacy,s311,8,16,0.9,0.7698265453367494,-0.09999999999999998,-0.23017345466325057
core,legacy,s1111,2,4,0.975,1.005981764711898,-0.025000000000000022,0.005981764711898041
core,legacy,s1111,4,8,1.0,0.8430114225923497,0.0,-0.15698857740765026
core,legacy,s1111,8,16,0.9871794871794872,0.9673259080036625,-0.012820512820512775,-0.03267409199633753
core,legacy,s4112,2,4,0.9333333333333333,0.5948345266165121,-0.06666666666666665,-0.40516547338348785
core,legacy,s4112,4,8,0.9821428571428571,0.946985726978035,-0.017857142857142905,-0.05301427302196504
core,legacy,s4112,8,16,0.9818181818181818,1.0160895012113116,-0.018181818181818188,0.016089501211311585
core,legacy,jacobi-2d-imper-l00,2,4,0.9,0.607120581904179,-0.09999999999999998,-0.39287941809582105
core,legacy,jacobi-2d-imper-l00,4,8,0.9629629629629629,0.726043161125909,-0.03703703703703709,-0.27395683887409095
core,legacy,jacobi-2d-imper-l00,8,16,0.9615384615384616,1.457382236537608,-0.038461538461538436,0.4573822365376079
core,legacy,gesummv-l00,2,4,0.8888888888888888,0.7272664621491665,-0.11111111111111116,-0.27273353785083354
core,legacy,gesummv-l00,4,8,1.21875,1.0621739212835488,0.21875,0.062173921283548816
core,legacy,gesummv-l00,8,16,0.9615384615384616,0.8612670940443267,-0.038461538461538436,-0.13873290595567334
core,tp_only,s000,2,4,0.75,0.38361084388918787,-0.25,-0.6163891561108121
core,tp_only,s000,4,8,0.9166666666666666,0.964355746551848,-0.08333333333333337,-0.03564425344815203
core,tp_only,s000,8,16,0.8636363636363636,0.9126218597138374,-0.13636363636363635,-0.08737814028616264
core,tp_only,s125,2,4,0.8333333333333334,0.5676092454891148,-0.16666666666666663,-0.43239075451088516
core,tp_only,s125,4,8,0.95,0.9693870725407263,-0.050000000000000044,-0.030612927459273687
core,tp_only,s125,8,16,0.9210526315789473,0.9397653353432787,-0.07894736842105265,-0.06023466465672134
core,tp_only,s311,2,4,0.6666666666666666,0.5056508134853653,-0.33333333333333337,-0.49434918651463466
core,tp_only,s311,4,8,1.375,1.0151063723780578,0.375,0.015106372378057786
core,tp_only,s311,8,16,0.8636363636363636,0.7698265453367494,-0.13636363636363635,-0.23017345466325057
core,tp_only,s1111,2,4,0.9583333333333334,1.005981764711898,-0.04166666666666663,0.005981764711898041
