group,mode,kernel,vf,score,raw_roi_cycles,cycles_per_element,pred_rel,meas_rel,multiplicative_error
core,tp_only,s1111,8,2.5,1160981,8.857582092285156,0.8333333333333334,0.8480541185717395,1.0176649422860873
core,tp_only,s1111,16,2.4375,1123047,8.568168640136719,0.8125,0.8203447202836536,1.009655040349112
core,tp_only,s4112,2,2.75,1254522,9.571243286132812,1.0,1.0,1.0
core,tp_only,s4112,4,2.125,746233,5.693305969238281,0.7727272727272727,0.5948345266165121,1.2990625764826316
core,tp_only,s4112,8,2.0625,706672,5.3914794921875,0.75,0.563299806619573,1.33144018724387
core,tp_only,s4112,16,1.96875,718042,5.4782257080078125,0.7159090909090909,0.5723630195405103,1.2507955029726041
core,tp_only,jacobi-2d-imper-l00,2,6.0,1200885,9.162025451660156,1.0,1.0,1.0
core,tp_only,jacobi-2d-imper-l00,4,3.625,729082,5.5624542236328125,0.6041666666666666,0.607120581904179,1.0048892390138136
core,tp_only,jacobi-2d-imper-l00,8,4.0,529345,4.038581848144531,0.6666666666666666,0.4407957464703115,1.5124162880541046
core,tp_only,jacobi-2d-imper-l00,16,5.625,771458,5.8857574462890625,0.9375,0.6424078908471669,1.4593531825452584
core,tp_only,gesummv-l00,2,1.25,507862,3.8746795654296875,1.0,1.0,1.0
core,tp_only,gesummv-l00,4,0.75,369351,2.8179244995117188,0.6,0.7272664621491665,1.212110770248611
core,tp_only,gesummv-l00,8,1.1875,392315,2.9931259155273438,0.95,0.7724834699189937,1.229799778239425
core,tp_only,gesummv-l00,16,1.09375,337888,2.577880859375,0.875,0.6653145933344098,1.3151673039587082
core,lcd_only,s000,2,0.25,471934,3.6005706787109375,1.0,1.0,1.0
core,lcd_only,s000,4,0.125,181039,1.3812179565429688,0.5,0.38361084388918787,1.3034042388656588
core,lcd_only,s000,8,0.1875,174586,1.3319854736328125,0.75,0.3699373217441422,2.027370464985738
core,lcd_only,s000,16,0.09375,159331,1.2155990600585938,0.375,0.3376128865476952,1.1107395924208094
core,lcd_only,s125,2,0.25,684788,5.224517822265625,1.0,1.0,1.0
core,lcd_only,s125,4,0.125,388692,2.965484619140625,0.5,0.5676092454891148,1.1352184909782297
core,lcd_only,s125,8,0.1875,376793,2.8747024536132812,0.75,0.5502330648317435,1.3630587617073566
core,lcd_only,s125,16,0.09375,354097,2.7015457153320312,0.375,0.5170899606885635,1.3789065618361693
core,lcd_only,s311,2,1.0,198467,1.5141830444335938,1.0,1.0,1.0
core,lcd_only,s311,4,0.625,100355,0.7656478881835938,0.625,0.5056508134853653,1.2360308405161675
core,lcd_only,s311,8,0.5,101871,0.7772140502929688,0.5,0.5132893629671431,1.0265787259342862
core,lcd_only,s311,16,0.375,78423,0.5983200073242188,0.375,0.39514377705109666,1.0537167388029245
core,lcd_only,s1111,2,0.25,1368994,10.444595336914062,1.0,1.0,1.0
core,lcd_only,s1111,4,0.125,1377183,10.507072448730469,0.5,1.005981764711898,2.011963529423796
core,lcd_only,s1111,8,0.1875,1160981,8.857582092285156,0.75,0.8480541185717395,1.1307388247623194
core,lcd_only,s1111,16,0.09375,1123047,8.568168640136719,0.375,0.8203447202836536,2.1875859207564097
core,lcd_only,s4112,2,0.25,1254522,9.571243286132812,1.0,1.0,1.0
core,lcd_only,s4112,4,0.125,746233,5.693305969238281,0.5,0.5948345266165121,1.1896690532330243
core,lcd_only,s4112,8,0.1875,706672,5.3914794921875,0.75,0.563299806619573,1.33144018724387
core,lcd_only,s4112,16,0.09375,718042,5.4782257080078125,0.375,0.5723630195405103,1.5263013854413607
core,lcd_only,jacobi-2d-imper-l00,2,0.25,1200885,9.162025451660156,1.0,1.0,1.0
core,lcd_only,jacobi-2d-imper-l00,4,0.125,729082,5.5624542236328125,0.5,0.607120581904179,1.214241163808358
core,lcd_only,jacobi-2d-imper-l00,8,0.1875,529345,4.038581848144531,0.75,0.4407957464703115,1.7014683240608677
core,lcd_only,jacobi-2d-imper-l00,16,0.09375,771458,5.8857574462890625,0.375,0.6424078908471669,1.7130877089257783
core,lcd_only,gesummv-l00,2,1.0,507862,3.8746795654296875,1.0,1.0,1.0
core,lcd_only,gesummv-l00,4,0.625,369351,2.8179244995117188,0.625,0.7272664621491665,1.1636263394386663
core,lcd_only,gesummv-l00,8,0.5,392315,2.9931259155273438,0.5,0.7724834699189937,1.5449669398379875
core,lcd_only,gesummv-l00,16,0.375,337888,2.577880859375,0.375,0.6653145933344098,1.7741722488917595
core,max_tp_lcd,s000,2,1,471934,3.6005706787109375,1.0,1.0,1.0
core,max_tp_lcd,s000,4,0.5,181039,1.3812179565429688,0.5,0.38361084388918787,1.3034042388656588
core,max_tp_lcd,s000,8,0.4375,174586,1.3319854736328125,0.4375,0.3699373217441422,1.1826327712416804
core,max_tp_lcd,s000,16,0.34375,159331,1.2155990600585938,0.34375,0.3376128865476952,1.0181779597190754
core,max_tp_lcd,s125,2,1.5,684788,5.224517822265625,1.0,1.0,1.0
core,max_tp_lcd,s125,4,0.75,388692,2.965484619140625,0.5,0.5676092454891148,1.1352184909782297
core,max_tp_lcd,s125,8,0.6875,376793,2.8747024536132812,0.4583333333333333,0.5502330648317435,1.2005085050874404
core,max_tp_lcd,s125,16,0.59375,354097,2.7015457153320312,0.3958333333333333,0.5170899606885635,1.3063325322658448
core,max_tp_lcd,s311,2,1,198467,1.5141830444335938,1.0,1.0,1.0
core,max_tp_lcd,s311,4,0.625,100355,0.7656478881835938,0.625,0.5056508134853653,1.2360308405161675
core,max_tp_lcd,s311,8,0.6875,101871,0.7772140502929688,0.6875,0.5132893629671431,1.3394004427167694
core,max_tp_lcd,s311,16,0.59375,78423,0.5983200073242188,0.59375,0.39514377705109666,1.5026176153679405
core,max_tp_lcd,s1111,2,3,1368994,10.444595336914062,1.0,1.0,1.0
core,max_tp_lcd,s1111,4,2.5,1377183,10.507072448730469,0.8333333333333334,1.005981764711898,1.2071781176542775
core,max_tp_lcd,s1111,8,2.5,1160981,8.857582092285156,0.8333333333333334,0.8480541185717395,1.0176649422860873
core,max_tp_lcd,s1111,16,2.4375,1123047,8.568168640136719,0.8125,0.8203447202836536,1.009655040349112
core,max_tp_lcd,s4112,2,2.75,1254522,9.571243286132812,1.0,1.0,1.0
core,max_tp_lcd,s4112,4,2.125,746233,5.693305969238281,0.7727272727272727,0.5948345266165121,1.2990625764826316
core,max_tp_lcd,s4112,8,2.0625,706672,5.3914794921875,0.75,0.563299806619573,1.33144018724387
core,max_tp_lcd,s4112,16,1.96875,718042,5.4782257080078125,0.7159090909090909,0.5723630195405103,1.2507955029726041
core,max_tp_lcd,jacobi-2d-imper-l00,2,6,1200885,9.162025451660156,1.0,1.0,1.0
