round,failures,group,mode,selections,issues,selection_coverage,pair_coverage,relative_coverage,regret_geomean,regret_worst,all_pair_accuracy,non_tie_pair_accuracy,relative_error_geomean,relative_error_p90
round-05-slide-best-full,[],core,max_tp_lcd,"{""gesummv-l00"": 4, ""jacobi-2d-imper-l00"": 8, ""s000"": 16, ""s1111"": 16, ""s125"": 16, ""s311"": 16, ""s4112"": 16}",[],7/7,42/42,21/21,1.0151122480048456,1.0931166540392083,0.9047619047619048,0.9487179487179487,1.2007239093155728,1.33144018724387
round-05-slide-best-full,[],core,automatic,"{""gesummv-l00"": 8, ""jacobi-2d-imper-l00"": 8, ""s000"": 16, ""s1111"": 8, ""s125"": 16, ""s311"": 16, ""s4112"": 16}",[],7/7,not applicable,not applicable,1.0287677159884299,1.161080002841178,,,,
round-05-slide-best-full,[],validation_informed,max_tp_lcd,"{""bicg-l01"": 4, ""gemver-l00"": 16}",[],2/2,12/12,6/6,1.0323424181315806,1.065730868273759,0.8333333333333334,0.9090909090909091,1.131718573153826,1.2036677931301372
round-05-slide-best-full,[],validation_informed,automatic,"{""bicg-l01"": 16, ""gemver-l00"": 16}",[],2/2,not applicable,not applicable,1.0,1.0,,,,
round-06-latency-best-full,[],core,max_tp_lcd,"{""gesummv-l00"": 4, ""jacobi-2d-imper-l00"": 8, ""s000"": 16, ""s1111"": 16, ""s125"": 16, ""s311"": 16, ""s4112"": 16}",[],7/7,42/42,21/21,1.0151122480048456,1.0931166540392083,0.8809523809523809,0.9487179487179487,1.1454368536403983,1.3034042388656588
round-06-latency-best-full,[],core,automatic,"{""gesummv-l00"": 8, ""jacobi-2d-imper-l00"": 8, ""s000"": 16, ""s1111"": 8, ""s125"": 16, ""s311"": 16, ""s4112"": 16}",[],7/7,not applicable,not applicable,1.0287677159884299,1.161080002841178,,,,
round-06-latency-best-full,[],validation_informed,max_tp_lcd,"{""bicg-l01"": 16, ""gemver-l00"": 16}",[],2/2,12/12,6/6,1.0,1.0,0.9166666666666666,1.0,1.1067038280348176,1.1886717703879097
round-06-latency-best-full,[],validation_informed,automatic,"{""bicg-l01"": 16, ""gemver-l00"": 16}",[],2/2,not applicable,not applicable,1.0,1.0,,,,
round-07-indexed-startup,[],core,max_tp_lcd,"{""gesummv-l00"": 4, ""jacobi-2d-imper-l00"": 8, ""s000"": 16, ""s1111"": 16, ""s125"": 16, ""s311"": 16, ""s4112"": 16}",[],7/7,42/42,21/21,1.0151122480048456,1.0931166540392083,0.9047619047619048,0.9743589743589743,1.1532163141062994,1.3063325322658448
round-07-indexed-startup,[],core,automatic,"{""gesummv-l00"": 8, ""jacobi-2d-imper-l00"": 8, ""s000"": 16, ""s1111"": 8, ""s125"": 16, ""s311"": 16, ""s4112"": 16}",[],7/7,not applicable,not applicable,1.0287677159884299,1.161080002841178,,,,
