group,mode,kernel,vf_a,vf_b,predicted_ratio,measured_ratio,predicted_change,measured_change
core,legacy,s000,2,4,0.6,0.38361084388918787,-0.4,-0.6163891561108121
core,legacy,s000,4,8,0.9166666666666666,0.964355746551848,-0.08333333333333337,-0.03564425344815203
core,legacy,s000,8,16,0.8636363636363636,0.9126218597138374,-0.13636363636363635,-0.08737814028616264
core,legacy,s125,2,4,0.625,0.5676092454891148,-0.375,-0.43239075451088516
core,legacy,s125,4,8,0.95,0.9693870725407263,-0.050000000000000044,-0.030612927459273687
core,legacy,s125,8,16,0.9210526315789473,0.9397653353432787,-0.07894736842105265,-0.06023466465672134
core,legacy,s311,2,4,0.625,0.5056508134853653,-0.375,-0.49434918651463466
core,legacy,s311,4,8,1.3,1.0151063723780578,0.30000000000000004,0.015106372378057786
core,legacy,s311,8,16,0.8846153846153846,0.7698265453367494,-0.11538461538461542,-0.23017345466325057
core,legacy,s1111,2,4,0.9,1.005981764711898,-0.09999999999999998,0.005981764711898041
core,legacy,s1111,4,8,1.0,0.8430114225923497,0.0,-0.15698857740765026
core,legacy,s1111,8,16,0.9861111111111112,0.9673259080036625,-0.01388888888888884,-0.03267409199633753
core,legacy,s4112,2,4,0.8333333333333334,0.5948345266165121,-0.16666666666666663,-0.40516547338348785
core,legacy,s4112,4,8,0.98,0.946985726978035,-0.020000000000000018,-0.05301427302196504
core,legacy,s4112,8,16,0.9795918367346939,1.0160895012113116,-0.020408163265306145,0.016089501211311585
core,legacy,jacobi-2d-imper-l00,2,4,0.5609756097560976,0.607120581904179,-0.4390243902439024,-0.39287941809582105
core,legacy,jacobi-2d-imper-l00,4,8,0.8043478260869565,0.726043161125909,-0.19565217391304346,-0.27395683887409095
core,legacy,jacobi-2d-imper-l00,8,16,1.027027027027027,1.457382236537608,0.027027027027026973,0.4573822365376079
core,legacy,gesummv-l00,2,4,0.7222222222222222,0.7272664621491665,-0.2777777777777778,-0.27273353785083354
core,legacy,gesummv-l00,4,8,1.2692307692307692,1.0621739212835488,0.26923076923076916,0.062173921283548816
core,legacy,gesummv-l00,8,16,0.9545454545454546,0.8612670940443267,-0.045454545454545414,-0.13873290595567334
core,tp_only,s000,2,4,0.5,0.38361084388918787,-0.5,-0.6163891561108121
core,tp_only,s000,4,8,0.875,0.964355746551848,-0.125,-0.03564425344815203
core,tp_only,s000,8,16,0.7857142857142857,0.9126218597138374,-0.2142857142857143,-0.08737814028616264
core,tp_only,s125,2,4,0.5,0.5676092454891148,-0.5,-0.43239075451088516
core,tp_only,s125,4,8,0.9166666666666666,0.9693870725407263,-0.08333333333333337,-0.030612927459273687
core,tp_only,s125,8,16,0.8636363636363636,0.9397653353432787,-0.13636363636363635,-0.06023466465672134
core,tp_only,s311,2,4,0.6666666666666666,0.5056508134853653,-0.33333333333333337,-0.49434918651463466
core,tp_only,s311,4,8,1.375,1.0151063723780578,0.375,0.015106372378057786
core,tp_only,s311,8,16,0.8636363636363636,0.7698265453367494,-0.13636363636363635,-0.23017345466325057
core,tp_only,s1111,2,4,0.8333333333333334,1.005981764711898,-0.16666666666666663,0.005981764711898041
core,tp_only,s1111,4,8,1.0,0.8430114225923497,0.0,-0.15698857740765026
core,tp_only,s1111,8,16,0.975,0.9673259080036625,-0.025000000000000022,-0.03267409199633753
core,tp_only,s4112,2,4,0.7727272727272727,0.5948345266165121,-0.2272727272727273,-0.40516547338348785
core,tp_only,s4112,4,8,0.9705882352941176,0.946985726978035,-0.02941176470588236,-0.05301427302196504
core,tp_only,s4112,8,16,0.9545454545454546,1.0160895012113116,-0.045454545454545414,0.016089501211311585
core,tp_only,jacobi-2d-imper-l00,2,4,0.5694444444444444,0.607120581904179,-0.4305555555555556,-0.39287941809582105
core,tp_only,jacobi-2d-imper-l00,4,8,0.7804878048780488,0.726043161125909,-0.2195121951219512,-0.27395683887409095
core,tp_only,jacobi-2d-imper-l00,8,16,1.03125,1.457382236537608,0.03125,0.4573822365376079
core,tp_only,gesummv-l00,2,4,0.6,0.7272664621491665,-0.4,-0.27273353785083354
core,tp_only,gesummv-l00,4,8,1.5833333333333333,1.0621739212835488,0.5833333333333333,0.062173921283548816
core,tp_only,gesummv-l00,8,16,0.9210526315789473,0.8612670940443267,-0.07894736842105265,-0.13873290595567334
core,lcd_only,s000,2,4,0.5,0.38361084388918787,-0.5,-0.6163891561108121
core,lcd_only,s000,4,8,1.5,0.964355746551848,0.5,-0.03564425344815203
core,lcd_only,s000,8,16,0.5,0.9126218597138374,-0.5,-0.08737814028616264
core,lcd_only,s125,2,4,0.5,0.5676092454891148,-0.5,-0.43239075451088516
core,lcd_only,s125,4,8,1.5,0.9693870725407263,0.5,-0.030612927459273687
core,lcd_only,s125,8,16,0.5,0.9397653353432787,-0.5,-0.06023466465672134
core,lcd_only,s311,2,4,0.625,0.5056508134853653,-0.375,-0.49434918651463466
core,lcd_only,s311,4,8,0.8,1.0151063723780578,-0.19999999999999996,0.015106372378057786
core,lcd_only,s311,8,16,0.75,0.7698265453367494,-0.25,-0.23017345466325057
core,lcd_only,s1111,2,4,0.5,1.005981764711898,-0.5,0.005981764711898041
core,lcd_only,s1111,4,8,1.5,0.8430114225923497,0.5,-0.15698857740765026
core,lcd_only,s1111,8,16,0.5,0.9673259080036625,-0.5,-0.03267409199633753
core,lcd_only,s4112,2,4,0.5,0.5948345266165121,-0.5,-0.40516547338348785
core,lcd_only,s4112,4,8,1.5,0.946985726978035,0.5,-0.05301427302196504
core,lcd_only,s4112,8,16,0.5,1.0160895012113116,-0.5,0.016089501211311585
core,lcd_only,jacobi-2d-imper-l00,2,4,0.5,0.607120581904179,-0.5,-0.39287941809582105
core,lcd_only,jacobi-2d-imper-l00,4,8,1.5,0.726043161125909,0.5,-0.27395683887409095
core,lcd_only,jacobi-2d-imper-l00,8,16,0.5,1.457382236537608,-0.5,0.4573822365376079
core,lcd_only,gesummv-l00,2,4,0.625,0.7272664621491665,-0.375,-0.27273353785083354
core,lcd_only,gesummv-l00,4,8,0.8,1.0621739212835488,-0.19999999999999996,0.062173921283548816
core,lcd_only,gesummv-l00,8,16,0.75,0.8612670940443267,-0.25,-0.13873290595567334
core,max_tp_lcd,s000,2,4,0.5,0.38361084388918787,-0.5,-0.6163891561108121
core,max_tp_lcd,s000,4,8,0.875,0.964355746551848,-0.125,-0.03564425344815203
core,max_tp_lcd,s000,8,16,0.7857142857142857,0.9126218597138374,-0.2142857142857143,-0.08737814028616264
core,max_tp_lcd,s125,2,4,0.5,0.5676092454891148,-0.5,-0.43239075451088516
core,max_tp_lcd,s125,4,8,0.9166666666666666,0.9693870725407263,-0.08333333333333337,-0.030612927459273687
core,max_tp_lcd,s125,8,16,0.8636363636363636,0.9397653353432787,-0.13636363636363635,-0.06023466465672134
core,max_tp_lcd,s311,2,4,0.625,0.5056508134853653,-0.375,-0.49434918651463466
core,max_tp_lcd,s311,4,8,1.1,1.0151063723780578,0.10000000000000009,0.015106372378057786
core,max_tp_lcd,s311,8,16,0.8636363636363636,0.7698265453367494,-0.13636363636363635,-0.23017345466325057
core,max_tp_lcd,s1111,2,4,0.8333333333333334,1.005981764711898,-0.16666666666666663,0.005981764711898041
core,max_tp_lcd,s1111,4,8,1.0,0.8430114225923497,0.0,-0.15698857740765026
core,max_tp_lcd,s1111,8,16,0.975,0.9673259080036625,-0.025000000000000022,-0.03267409199633753
core,max_tp_lcd,s4112,2,4,0.7727272727272727,0.5948345266165121,-0.2272727272727273,-0.40516547338348785
core,max_tp_lcd,s4112,4,8,0.9705882352941176,0.946985726978035,-0.02941176470588236,-0.05301427302196504
core,max_tp_lcd,s4112,8,16,0.9545454545454546,1.0160895012113116,-0.045454545454545414,0.016089501211311585
core,max_tp_lcd,jacobi-2d-imper-l00,2,4,0.5694444444444444,0.607120581904179,-0.4305555555555556,-0.39287941809582105
core,max_tp_lcd,jacobi-2d-imper-l00,4,8,0.7804878048780488,0.726043161125909,-0.2195121951219512,-0.27395683887409095
core,max_tp_lcd,jacobi-2d-imper-l00,8,16,1.03125,1.457382236537608,0.03125,0.4573822365376079
core,max_tp_lcd,gesummv-l00,2,4,0.6,0.7272664621491665,-0.4,-0.27273353785083354
core,max_tp_lcd,gesummv-l00,4,8,1.5833333333333333,1.0621739212835488,0.5833333333333333,0.062173921283548816
core,max_tp_lcd,gesummv-l00,8,16,0.9210526315789473,0.8612670940443267,-0.07894736842105265,-0.13873290595567334
validation_informed,legacy,bicg-l01,2,4,0.7,0.5775166275929902,-0.30000000000000004,-0.42248337240700984
validation_informed,legacy,bicg-l01,4,8,1.1071428571428572,0.9739342779792147,0.1071428571428572,-0.026065722020785276
validation_informed,legacy,bicg-l01,8,16,0.9516129032258065,0.9634358523725834,-0.048387096774193505,-0.036564147627416554
validation_informed,legacy,gemver-l00,2,4,0.7,0.5596765412428371,-0.30000000000000004,-0.44032345875716294
validation_informed,legacy,gemver-l00,4,8,0.9642857142857143,0.9213248185010744,-0.0357142857142857,-0.0786751814989256
validation_informed,legacy,gemver-l00,8,16,0.9444444444444444,0.9613281914084519,-0.05555555555555558,-0.03867180859154806
validation_informed,tp_only,bicg-l01,2,4,0.5,0.5775166275929902,-0.5,-0.42248337240700984
validation_informed,tp_only,bicg-l01,4,8,1.25,0.9739342779792147,0.25,-0.026065722020785276
validation_informed,tp_only,bicg-l01,8,16,0.9,0.9634358523725834,-0.09999999999999998,-0.036564147627416554
validation_informed,tp_only,gemver-l00,2,4,0.5,0.5596765412428371,-0.5,-0.44032345875716294
validation_informed,tp_only,gemver-l00,4,8,0.9166666666666666,0.9213248185010744,-0.08333333333333337,-0.0786751814989256
validation_informed,tp_only,gemver-l00,8,16,0.8636363636363636,0.9613281914084519,-0.13636363636363635,-0.03867180859154806
validation_informed,lcd_only,bicg-l01,2,4,0.625,0.5775166275929902,-0.375,-0.42248337240700984
validation_informed,lcd_only,bicg-l01,4,8,0.8,0.9739342779792147,-0.19999999999999996,-0.026065722020785276
validation_informed,lcd_only,bicg-l01,8,16,0.75,0.9634358523725834,-0.25,-0.036564147627416554
validation_informed,lcd_only,gemver-l00,2,4,0.5,0.5596765412428371,-0.5,-0.44032345875716294
validation_informed,lcd_only,gemver-l00,4,8,1.5,0.9213248185010744,0.5,-0.0786751814989256
validation_informed,lcd_only,gemver-l00,8,16,0.5,0.9613281914084519,-0.5,-0.03867180859154806
validation_informed,max_tp_lcd,bicg-l01,2,4,0.5,0.5775166275929902,-0.5,-0.42248337240700984
validation_informed,max_tp_lcd,bicg-l01,4,8,1.25,0.9739342779792147,0.25,-0.026065722020785276
validation_informed,max_tp_lcd,bicg-l01,8,16,0.9,0.9634358523725834,-0.09999999999999998,-0.036564147627416554
validation_informed,max_tp_lcd,gemver-l00,2,4,0.5,0.5596765412428371,-0.5,-0.44032345875716294
validation_informed,max_tp_lcd,gemver-l00,4,8,0.9166666666666666,0.9213248185010744,-0.08333333333333337,-0.0786751814989256
validation_informed,max_tp_lcd,gemver-l00,8,16,0.8636363636363636,0.9613281914084519,-0.13636363636363635,-0.03867180859154806
