group,mode,kernel,vf,score,raw_roi_cycles,cycles_per_element,pred_rel,meas_rel,multiplicative_error
core,lcd_only,s000,2,0.25,471934,3.6005706787109375,1.0,1.0,1.0
core,lcd_only,s000,4,0.125,181039,1.3812179565429688,0.5,0.38361084388918787,1.3034042388656588
core,lcd_only,s000,8,0.1875,174586,1.3319854736328125,0.75,0.3699373217441422,2.027370464985738
core,lcd_only,s000,16,0.09375,159331,1.2155990600585938,0.375,0.3376128865476952,1.1107395924208094
core,lcd_only,s125,2,0.25,684788,5.224517822265625,1.0,1.0,1.0
core,lcd_only,s125,4,0.125,388692,2.965484619140625,0.5,0.5676092454891148,1.1352184909782297
core,lcd_only,s125,8,0.1875,376793,2.8747024536132812,0.75,0.5502330648317435,1.3630587617073566
core,lcd_only,s125,16,0.09375,354097,2.7015457153320312,0.375,0.5170899606885635,1.3789065618361693
core,lcd_only,s311,2,1.0,198467,1.5141830444335938,1.0,1.0,1.0
core,lcd_only,s311,4,0.625,100355,0.7656478881835938,0.625,0.5056508134853653,1.2360308405161675
core,lcd_only,s311,8,0.5,101871,0.7772140502929688,0.5,0.5132893629671431,1.0265787259342862
core,lcd_only,s311,16,0.375,78423,0.5983200073242188,0.375,0.39514377705109666,1.0537167388029245
core,lcd_only,s1111,2,0.25,1368994,10.444595336914062,1.0,1.0,1.0
core,lcd_only,s1111,4,0.125,1377183,10.507072448730469,0.5,1.005981764711898,2.011963529423796
core,lcd_only,s1111,8,0.1875,1160981,8.857582092285156,0.75,0.8480541185717395,1.1307388247623194
core,lcd_only,s1111,16,0.09375,1123047,8.568168640136719,0.375,0.8203447202836536,2.1875859207564097
core,lcd_only,s4112,2,0.25,1254522,9.571243286132812,1.0,1.0,1.0
core,lcd_only,s4112,4,0.125,746233,5.693305969238281,0.5,0.5948345266165121,1.1896690532330243
core,lcd_only,s4112,8,0.1875,706672,5.3914794921875,0.75,0.563299806619573,1.33144018724387
core,lcd_only,s4112,16,0.09375,718042,5.4782257080078125,0.375,0.5723630195405103,1.5263013854413607
core,lcd_only,jacobi-2d-imper-l00,2,0.25,1200885,9.162025451660156,1.0,1.0,1.0
core,lcd_only,jacobi-2d-imper-l00,4,0.125,729082,5.5624542236328125,0.5,0.607120581904179,1.214241163808358
core,lcd_only,jacobi-2d-imper-l00,8,0.1875,529345,4.038581848144531,0.75,0.4407957464703115,1.7014683240608677
core,lcd_only,jacobi-2d-imper-l00,16,0.09375,771458,5.8857574462890625,0.375,0.6424078908471669,1.7130877089257783
core,lcd_only,gesummv-l00,2,1.0,507862,3.8746795654296875,1.0,1.0,1.0
core,lcd_only,gesummv-l00,4,0.625,369351,2.8179244995117188,0.625,0.7272664621491665,1.1636263394386663
core,lcd_only,gesummv-l00,8,0.5,392315,2.9931259155273438,0.5,0.7724834699189937,1.5449669398379875
core,lcd_only,gesummv-l00,16,0.375,337888,2.577880859375,0.375,0.6653145933344098,1.7741722488917595
core,max_tp_lcd,s000,2,1,471934,3.6005706787109375,1.0,1.0,1.0
core,max_tp_lcd,s000,4,0.75,181039,1.3812179565429688,0.75,0.38361084388918787,1.9551063582984882
core,max_tp_lcd,s000,8,0.6875,174586,1.3319854736328125,0.6875,0.3699373217441422,1.8584229262369263
core,max_tp_lcd,s000,16,0.59375,159331,1.2155990600585938,0.59375,0.3376128865476952,1.7586710213329484
core,max_tp_lcd,s125,2,1.5,684788,5.224517822265625,1.0,1.0,1.0
core,max_tp_lcd,s125,4,1.25,388692,2.965484619140625,0.8333333333333334,0.5676092454891148,1.4681461585694244
core,max_tp_lcd,s125,8,1.1875,376793,2.8747024536132812,0.7916666666666666,0.5502330648317435,1.4387842484688764
core,max_tp_lcd,s125,16,1.09375,354097,2.7015457153320312,0.7291666666666666,0.5170899606885635,1.4101350289139227
core,max_tp_lcd,s311,2,1,198467,1.5141830444335938,1.0,1.0,1.0
core,max_tp_lcd,s311,4,0.625,100355,0.7656478881835938,0.625,0.5056508134853653,1.2360308405161675
core,max_tp_lcd,s311,8,0.6875,101871,0.7772140502929688,0.6875,0.5132893629671431,1.3394004427167694
core,max_tp_lcd,s311,16,0.59375,78423,0.5983200073242188,0.59375,0.39514377705109666,1.5026176153679405
core,max_tp_lcd,s1111,2,3,1368994,10.444595336914062,1.0,1.0,1.0
core,max_tp_lcd,s1111,4,2.875,1377183,10.507072448730469,0.9583333333333334,1.005981764711898,1.0497201023080676
core,max_tp_lcd,s1111,8,2.875,1160981,8.857582092285156,0.9583333333333334,0.8480541185717395,1.1300379449218665
core,max_tp_lcd,s1111,16,2.8125,1123047,8.568168640136719,0.9375,0.8203447202836536,1.1428122554087228
core,max_tp_lcd,s4112,2,2.75,1254522,9.571243286132812,1.0,1.0,1.0
core,max_tp_lcd,s4112,4,2.5,746233,5.693305969238281,0.9090909090909091,0.5948345266165121,1.5283089135089782
core,max_tp_lcd,s4112,8,2.4375,706672,5.3914794921875,0.8863636363636364,0.563299806619573,1.5735202212882098
core,max_tp_lcd,s4112,16,2.34375,718042,5.4782257080078125,0.8522727272727273,0.5723630195405103,1.4890422654435762
core,max_tp_lcd,jacobi-2d-imper-l00,2,2.5,1200885,9.162025451660156,1.0,1.0,1.0
core,max_tp_lcd,jacobi-2d-imper-l00,4,2.125,729082,5.5624542236328125,0.85,0.607120581904179,1.4000513659643223
core,max_tp_lcd,jacobi-2d-imper-l00,8,2,529345,4.038581848144531,0.8,0.4407957464703115,1.8148995456649255
core,max_tp_lcd,jacobi-2d-imper-l00,16,1.875,771458,5.8857574462890625,0.75,0.6424078908471669,1.1674825460362068
core,max_tp_lcd,gesummv-l00,2,1.5,507862,3.8746795654296875,1.0,1.0,1.0
core,max_tp_lcd,gesummv-l00,4,1.25,369351,2.8179244995117188,0.8333333333333334,0.7272664621491665,1.1458432042510602
core,max_tp_lcd,gesummv-l00,8,1.6875,392315,2.9931259155273438,1.125,0.7724834699189937,1.4563418426519505
core,max_tp_lcd,gesummv-l00,16,1.59375,337888,2.577880859375,1.0625,0.6653145933344098,1.596988869092717
validation_informed,legacy,bicg-l01,2,2.5,606973,4.630836486816406,1.0,1.0,1.0
validation_informed,legacy,bicg-l01,4,2.25,350537,2.6743850708007812,0.9,0.5775166275929902,1.558396688509344
validation_informed,legacy,bicg-l01,8,2.4375,341400,2.60467529296875,0.975,0.56246323971577,1.7334466168717046
validation_informed,legacy,bicg-l01,16,2.34375,328917,2.5094375610351562,0.9375,0.5418972507838076,1.7300327666250146
validation_informed,legacy,gemver-l00,2,2.5,650222,4.9608001708984375,1.0,1.0,1.0
validation_informed,legacy,gemver-l00,4,2.25,363914,2.7764434814453125,0.9,0.5596765412428371,1.608071687266772
validation_informed,legacy,gemver-l00,8,2.1875,335283,2.5580062866210938,0.875,0.5156438877798659,1.6969075378113416
validation_informed,legacy,gemver-l00,16,2.09375,322317,2.4590835571289062,0.8375,0.4957030060502413,1.6895197119605854
validation_informed,tp_only,bicg-l01,2,1.5,606973,4.630836486816406,1.0,1.0,1.0
validation_informed,tp_only,bicg-l01,4,1.25,350537,2.6743850708007812,0.8333333333333334,0.5775166275929902,1.4429598967679114
validation_informed,tp_only,bicg-l01,8,1.4375,341400,2.60467529296875,0.9583333333333334,0.56246323971577,1.7038150507713337
validation_informed,tp_only,bicg-l01,16,1.34375,328917,2.5094375610351562,0.8958333333333334,0.5418972507838076,1.6531424214416808
validation_informed,tp_only,gemver-l00,2,1.5,650222,4.9608001708984375,1.0,1.0,1.0
validation_informed,tp_only,gemver-l00,4,1.25,363914,2.7764434814453125,0.8333333333333334,0.5596765412428371,1.4889552659877519
validation_informed,tp_only,gemver-l00,8,1.1875,335283,2.5580062866210938,0.7916666666666666,0.5156438877798659,1.5352972961150233
validation_informed,tp_only,gemver-l00,16,1.09375,322317,2.4590835571289062,0.7291666666666666,0.4957030060502413,1.4709748735975245
validation_informed,lcd_only,bicg-l01,2,1.0,606973,4.630836486816406,1.0,1.0,1.0
validation_informed,lcd_only,bicg-l01,4,0.625,350537,2.6743850708007812,0.625,0.5775166275929902,1.0822199225759335
validation_informed,lcd_only,bicg-l01,8,0.5,341400,2.60467529296875,0.5,0.56246323971577,1.12492647943154
validation_informed,lcd_only,bicg-l01,16,0.375,328917,2.5094375610351562,0.375,0.5418972507838076,1.4450593354234869
validation_informed,lcd_only,gemver-l00,2,0.25,650222,4.9608001708984375,1.0,1.0,1.0
validation_informed,lcd_only,gemver-l00,4,0.125,363914,2.7764434814453125,0.5,0.5596765412428371,1.1193530824856741
validation_informed,lcd_only,gemver-l00,8,0.1875,335283,2.5580062866210938,0.75,0.5156438877798659,1.4544921752668643
validation_informed,lcd_only,gemver-l00,16,0.09375,322317,2.4590835571289062,0.375,0.4957030060502413,1.3218746828006436
validation_informed,max_tp_lcd,bicg-l01,2,1.5,606973,4.630836486816406,1.0,1.0,1.0
validation_informed,max_tp_lcd,bicg-l01,4,1.25,350537,2.6743850708007812,0.8333333333333334,0.5775166275929902,1.4429598967679114
validation_informed,max_tp_lcd,bicg-l01,8,1.4375,341400,2.60467529296875,0.9583333333333334,0.56246323971577,1.7038150507713337
validation_informed,max_tp_lcd,bicg-l01,16,1.34375,328917,2.5094375610351562,0.8958333333333334,0.5418972507838076,1.6531424214416808
validation_informed,max_tp_lcd,gemver-l00,2,1.5,650222,4.9608001708984375,1.0,1.0,1.0
validation_informed,max_tp_lcd,gemver-l00,4,1.25,363914,2.7764434814453125,0.8333333333333334,0.5596765412428371,1.4889552659877519
validation_informed,max_tp_lcd,gemver-l00,8,1.1875,335283,2.5580062866210938,0.7916666666666666,0.5156438877798659,1.5352972961150233
validation_informed,max_tp_lcd,gemver-l00,16,1.09375,322317,2.4590835571289062,0.7291666666666666,0.4957030060502413,1.4709748735975245
