group,mode,kernel,vf,score,raw_roi_cycles,cycles_per_element,pred_rel,meas_rel,multiplicative_error
core,max_tp_lcd,s311,2,,198467,1.5141830444335938,,1.0,
core,max_tp_lcd,s311,4,,100355,0.7656478881835938,,0.5056508134853653,
core,max_tp_lcd,s311,8,,101871,0.7772140502929688,,0.5132893629671431,
core,max_tp_lcd,s311,16,,78423,0.5983200073242188,,0.39514377705109666,
core,max_tp_lcd,s1111,2,,1368994,10.444595336914062,,1.0,
core,max_tp_lcd,s1111,4,,1377183,10.507072448730469,,1.005981764711898,
core,max_tp_lcd,s1111,8,,1160981,8.857582092285156,,0.8480541185717395,
core,max_tp_lcd,s1111,16,,1123047,8.568168640136719,,0.8203447202836536,
core,max_tp_lcd,s4112,2,,1254522,9.571243286132812,,1.0,
core,max_tp_lcd,s4112,4,,746233,5.693305969238281,,0.5948345266165121,
core,max_tp_lcd,s4112,8,,706672,5.3914794921875,,0.563299806619573,
core,max_tp_lcd,s4112,16,,718042,5.4782257080078125,,0.5723630195405103,
core,max_tp_lcd,jacobi-2d-imper-l00,2,,1200885,9.162025451660156,,1.0,
core,max_tp_lcd,jacobi-2d-imper-l00,4,,729082,5.5624542236328125,,0.607120581904179,
core,max_tp_lcd,jacobi-2d-imper-l00,8,,529345,4.038581848144531,,0.4407957464703115,
core,max_tp_lcd,jacobi-2d-imper-l00,16,,771458,5.8857574462890625,,0.6424078908471669,
core,max_tp_lcd,gesummv-l00,2,,507862,3.8746795654296875,,1.0,
core,max_tp_lcd,gesummv-l00,4,,369351,2.8179244995117188,,0.7272664621491665,
core,max_tp_lcd,gesummv-l00,8,,392315,2.9931259155273438,,0.7724834699189937,
core,max_tp_lcd,gesummv-l00,16,,337888,2.577880859375,,0.6653145933344098,
validation_informed,legacy,bicg-l01,2,3.5,606973,4.630836486816406,1.0,1.0,1.0
validation_informed,legacy,bicg-l01,4,3.25,350537,2.6743850708007812,0.9285714285714286,0.5775166275929902,1.6078695992556726
validation_informed,legacy,bicg-l01,8,3.375,341400,2.60467529296875,0.9642857142857143,0.56246323971577,1.7143977529500376
validation_informed,legacy,bicg-l01,16,3.3125,328917,2.5094375610351562,0.9464285714285714,0.5418972507838076,1.7465092691643005
validation_informed,legacy,gemver-l00,2,3.5,650222,4.9608001708984375,1.0,1.0,1.0
validation_informed,legacy,gemver-l00,4,3.25,363914,2.7764434814453125,0.9285714285714286,0.5596765412428371,1.6591215821006378
validation_informed,legacy,gemver-l00,8,3.125,335283,2.5580062866210938,0.8928571428571429,0.5156438877798659,1.731538303889124
validation_informed,legacy,gemver-l00,16,3.0625,322317,2.4590835571289062,0.875,0.4957030060502413,1.7651698483170295
validation_informed,tp_only,bicg-l01,2,,606973,4.630836486816406,,1.0,
validation_informed,tp_only,bicg-l01,4,,350537,2.6743850708007812,,0.5775166275929902,
validation_informed,tp_only,bicg-l01,8,,341400,2.60467529296875,,0.56246323971577,
validation_informed,tp_only,bicg-l01,16,,328917,2.5094375610351562,,0.5418972507838076,
