group,mode,kernel,vf_a,vf_b,near_tie,correct
core,max_tp_lcd,s125,2,16,False,True
core,max_tp_lcd,s125,4,8,False,True
core,max_tp_lcd,s125,4,16,False,True
core,max_tp_lcd,s125,8,16,False,True
core,max_tp_lcd,s311,2,4,False,True
core,max_tp_lcd,s311,2,8,False,True
core,max_tp_lcd,s311,2,16,False,True
core,max_tp_lcd,s311,4,8,True,True
core,max_tp_lcd,s311,4,16,False,True
core,max_tp_lcd,s311,8,16,False,True
core,max_tp_lcd,s1111,2,4,True,False
core,max_tp_lcd,s1111,2,8,False,True
core,max_tp_lcd,s1111,2,16,False,True
core,max_tp_lcd,s1111,4,8,False,False
core,max_tp_lcd,s1111,4,16,False,True
core,max_tp_lcd,s1111,8,16,False,True
core,max_tp_lcd,s4112,2,4,False,True
core,max_tp_lcd,s4112,2,8,False,True
core,max_tp_lcd,s4112,2,16,False,True
core,max_tp_lcd,s4112,4,8,False,True
core,max_tp_lcd,s4112,4,16,False,True
core,max_tp_lcd,s4112,8,16,True,False
core,max_tp_lcd,jacobi-2d-imper-l00,2,4,False,True
core,max_tp_lcd,jacobi-2d-imper-l00,2,8,False,True
core,max_tp_lcd,jacobi-2d-imper-l00,2,16,False,True
core,max_tp_lcd,jacobi-2d-imper-l00,4,8,False,True
core,max_tp_lcd,jacobi-2d-imper-l00,4,16,False,False
core,max_tp_lcd,jacobi-2d-imper-l00,8,16,False,False
core,max_tp_lcd,gesummv-l00,2,4,False,True
core,max_tp_lcd,gesummv-l00,2,8,False,True
core,max_tp_lcd,gesummv-l00,2,16,False,True
core,max_tp_lcd,gesummv-l00,4,8,False,True
core,max_tp_lcd,gesummv-l00,4,16,False,False
core,max_tp_lcd,gesummv-l00,8,16,False,True
validation_informed,legacy,bicg-l01,2,4,False,True
validation_informed,legacy,bicg-l01,2,8,False,True
validation_informed,legacy,bicg-l01,2,16,False,True
validation_informed,legacy,bicg-l01,4,8,True,False
validation_informed,legacy,bicg-l01,4,16,False,False
validation_informed,legacy,bicg-l01,8,16,False,True
validation_informed,legacy,gemver-l00,2,4,False,True
validation_informed,legacy,gemver-l00,2,8,False,True
validation_informed,legacy,gemver-l00,2,16,False,True
validation_informed,legacy,gemver-l00,4,8,False,True
validation_informed,legacy,gemver-l00,4,16,False,True
validation_informed,legacy,gemver-l00,8,16,False,True
validation_informed,tp_only,bicg-l01,2,4,False,True
validation_informed,tp_only,bicg-l01,2,8,False,True
validation_informed,tp_only,bicg-l01,2,16,False,True
validation_informed,tp_only,bicg-l01,4,8,True,False
validation_informed,tp_only,bicg-l01,4,16,False,False
validation_informed,tp_only,bicg-l01,8,16,False,True
validation_informed,tp_only,gemver-l00,2,4,False,True
validation_informed,tp_only,gemver-l00,2,8,False,True
validation_informed,tp_only,gemver-l00,2,16,False,True
validation_informed,tp_only,gemver-l00,4,8,False,True
validation_informed,tp_only,gemver-l00,4,16,False,True
validation_informed,tp_only,gemver-l00,8,16,False,True
validation_informed,lcd_only,bicg-l01,2,4,False,True
validation_informed,lcd_only,bicg-l01,2,8,False,True
validation_informed,lcd_only,bicg-l01,2,16,False,True
validation_informed,lcd_only,bicg-l01,4,8,True,True
validation_informed,lcd_only,bicg-l01,4,16,False,True
validation_informed,lcd_only,bicg-l01,8,16,False,True
validation_informed,lcd_only,gemver-l00,2,4,False,True
validation_informed,lcd_only,gemver-l00,2,8,False,True
validation_informed,lcd_only,gemver-l00,2,16,False,True
validation_informed,lcd_only,gemver-l00,4,8,False,False
validation_informed,lcd_only,gemver-l00,4,16,False,True
validation_informed,lcd_only,gemver-l00,8,16,False,True
validation_informed,max_tp_lcd,bicg-l01,2,4,False,True
validation_informed,max_tp_lcd,bicg-l01,2,8,False,True
validation_informed,max_tp_lcd,bicg-l01,2,16,False,True
validation_informed,max_tp_lcd,bicg-l01,4,8,True,False
validation_informed,max_tp_lcd,bicg-l01,4,16,False,False
validation_informed,max_tp_lcd,bicg-l01,8,16,False,True
validation_informed,max_tp_lcd,gemver-l00,2,4,False,True
validation_informed,max_tp_lcd,gemver-l00,2,8,False,True
validation_informed,max_tp_lcd,gemver-l00,2,16,False,True
validation_informed,max_tp_lcd,gemver-l00,4,8,False,True
validation_informed,max_tp_lcd,gemver-l00,4,16,False,True
validation_informed,max_tp_lcd,gemver-l00,8,16,False,True
